Date,Open,High,Low,Close
12/2018,"275.70","276.98","259.35","261.98"
11/2018,"264.72","277.54","262.77","271.35"
10/2018,"301.55","301.97","259.06","264.01"
09/2018,"299.15","302.64","290.69","300.51"
08/2018,"298.32","300.07","285.42","300.07"
07/2018,"299.12","300.24","289.90","297.45"
06/2018,"310.13","319.19","295.97","299.66"
05/2018,"323.56","323.97","308.07","310.92"
04/2018,"315.56","323.58","308.33","323.56"
03/2018,"310.11","324.72","304.46","314.61"
02/2018,"335.06","335.66","303.47","312.86"
01/2018,"325.73","339.27","324.22","333.38"
