Date,Open,High,Low,Close
12/2023,336.71,357.99,331.42,357.99
11/2023,307.55,338.43,307.33,338.43
10/2023,322.61,329.06,305.14,305.56
09/2023,334.11,346.29,324.73,326.71
08/2023,347.35,351.23,325.74,334.75
07/2023,340.26,347.18,330.33,345.62
06/2023,338.36,348.18,335.04,337.95
05/2023,326.99,342.51,321.61,339.12
04/2023,323.18,335.77,317.78,326.46
03/2023,315.3,322.54,304.63,322.03
02/2023,320.54,326.73,311.63,314.8
01/2023,292.9,329.71,284.32,317.26
12/2020,349.37,390.04,349.07,389.29
11/2020,302.67,354.78,301.37,346.05
10/2020,309.65,321.45,301.58,301.6
09/2020,309.08,324.19,301.93,309.44
08/2020,299.57,326.22,297.57,307.14
07/2020,283.1,304.16,279.44,299.32
06/2020,269.29,295.68,267.95,280.09
05/2020,252.44,271.44,249.95,268.32
04/2020,234.23,259.67,223.6,258.15
03/2020,269.59,282.05,198.67,236.82
02/2020,280.17,304.43,267.23,268.02
01/2020,294.19,307.54,284.53,284.53
12/2015,245.47,249.08,245.39,248.7
11/2015,249.86,253.22,238.84,244.24
10/2015,236.6,253.41,235.83,249.41
09/2015,231.86,241.3,226.03,236.71
08/2015,243.71,244.05,217.52,232.8
07/2015,252.49,256.12,241.49,244.3
06/2015,259.84,260.0,246.42,252.27
05/2015,267.57,268.56,259.47,260.39
04/2015,256.44,275.11,254.7,266.42
03/2015,253.13,260.68,250.09,257.28
02/2015,249.83,253.22,246.32,251.46
01/2015,243.96,252.5,239.09,249.88
12/2022,325.37,325.49,291.1,291.1
11/2022,300.53,324.73,297.62,321.0
10/2022,286.25,300.05,282.04,299.58
09/2022,318.74,319.37,278.39,281.36
08/2022,322.14,333.47,315.48,322.96
07/2022,308.72,325.83,300.82,323.31
06/2022,352.29,353.93,304.13,307.2
05/2022,351.31,356.45,337.65,354.54
04/2022,363.97,366.67,343.76,355.08
03/2022,361.52,367.4,346.85,365.61
02/2022,364.07,373.03,354.01,361.54
01/2022,397.16,399.44,347.28,357.98
12/2009,204.02,223.06,202.99,221.86
11/2009,201.76,215.29,200.06,204.75
10/2009,220.81,221.54,204.83,206.81
09/2009,207.54,225.93,206.25,219.75
08/2009,203.59,211.07,198.66,207.44
07/2009,178.53,203.35,177.75,202.96
06/2009,178.42,183.84,173.22,178.99
05/2009,178.23,184.01,167.47,178.7
04/2009,158.02,177.3,156.24,176.0
03/2009,135.42,163.98,129.36,157.01
02/2009,148.86,161.32,134.44,138.07
01/2009,147.51,161.53,141.04,151.33
12/2013,270.48,270.84,256.08,264.24
11/2013,268.06,270.36,258.04,269.57
10/2013,261.08,272.56,260.09,266.91
09/2013,251.65,264.38,250.4,260.91
08/2013,248.33,251.74,239.01,251.74
07/2013,240.58,249.03,234.11,247.99
06/2013,260.48,262.03,230.18,242.27
05/2013,255.49,263.34,251.19,261.47
04/2013,264.16,264.19,246.11,255.72
03/2013,268.51,269.12,255.1,263.39
02/2013,258.57,268.95,253.5,268.01
01/2013,266.24,270.74,253.49,258.07
12/2008,146.71,149.5,146.25,146.35
12/2017,326.85,331.22,316.9,324.74
11/2017,335.67,339.59,324.82,325.25
10/2017,321.29,334.4,320.57,333.57
09/2017,308.85,320.4,302.41,316.27
08/2017,313.58,318.86,301.32,308.28
07/2017,312.5,322.16,309.62,314.6
06/2017,304.74,313.79,302.99,311.76
05/2017,288.6,309.32,288.39,304.67
04/2017,281.51,289.02,275.01,287.21
03/2017,272.14,284.4,268.36,280.64
02/2017,269.16,273.18,265.76,270.06
01/2017,259.42,271.21,258.64,268.09
12/2019,278.27,296.95,272.53,293.77
11/2019,276.17,287.78,275.59,276.78
10/2019,273.43,279.49,266.23,275.82
09/2019,258.25,278.17,257.4,273.55
08/2019,264.97,267.44,250.24,259.0
07/2019,279.59,279.68,265.0,266.34
06/2019,262.68,278.63,262.33,277.5
05/2019,283.37,286.87,260.22,263.89
04/2019,278.41,291.21,278.41,284.92
03/2019,286.12,286.68,273.88,276.48
02/2019,287.07,290.32,280.02,283.8
01/2019,263.35,288.87,254.55,285.89
12/2011,250.12,253.02,227.54,238.08
11/2011,247.51,252.66,229.74,241.19
10/2011,218.92,256.88,215.53,249.88
09/2011,243.07,248.84,212.92,230.41
08/2011,280.86,282.79,218.09,242.16
07/2011,277.9,287.73,274.61,277.11
06/2011,282.92,284.34,263.02,275.17
05/2011,291.93,295.51,267.77,282.76
04/2011,278.92,295.16,275.12,290.39
03/2011,253.95,278.87,249.34,278.87
02/2011,274.5,278.68,255.88,256.36
01/2011,272.84,280.26,271.26,273.12
12/2012,254.91,265.98,253.72,263.92
11/2012,248.7,255.95,242.9,254.25
10/2012,262.82,264.16,246.69,250.18
09/2012,250.97,265.63,245.68,262.49
08/2012,248.42,261.08,244.17,250.56
07/2012,246.35,252.53,231.68,250.08
06/2012,242.45,253.59,235.37,244.9
05/2012,266.1,267.01,235.46,244.05
04/2012,267.72,272.83,259.22,264.35
03/2012,268.64,271.68,258.32,266.58
02/2012,255.73,269.26,255.56,267.13
01/2012,239.04,260.07,235.95,256.9
12/2021,376.45,403.37,373.61,394.19
11/2021,390.34,399.88,370.86,373.24
10/2021,399.53,400.52,379.08,388.47
09/2021,419.17,421.31,396.78,401.3
08/2021,426.29,437.85,399.18,419.79
07/2021,439.01,440.68,423.91,423.91
06/2021,428.08,442.31,426.94,438.84
05/2021,422.54,436.73,414.28,427.91
04/2021,416.99,434.7,416.51,422.36
03/2021,411.0,422.41,399.37,415.04
02/2021,404.71,432.25,400.59,409.91
01/2021,389.5,449.04,388.88,404.56
12/2010,250.08,271.53,249.54,271.19
11/2010,243.92,256.51,242.68,249.64
10/2010,242.87,248.92,237.25,242.98
09/2010,228.0,243.32,227.3,242.95
08/2010,230.82,234.29,222.8,226.81
07/2010,219.26,232.14,214.04,229.25
06/2010,213.3,227.99,211.89,220.85
05/2010,227.04,227.72,201.5,214.34
04/2010,221.98,230.54,221.98,227.95
03/2010,210.99,223.5,210.58,221.58
02/2010,210.53,213.98,202.69,208.36
01/2010,221.67,226.16,209.4,210.34
12/2014,252.09,254.68,241.89,244.05
11/2014,249.79,254.57,245.17,253.7
10/2014,255.78,255.81,239.43,250.45
09/2014,265.28,265.93,255.09,256.77
08/2014,268.01,270.09,261.53,265.41
07/2014,259.14,272.83,256.23,269.68
06/2014,260.49,263.19,255.03,260.56
05/2014,256.08,264.5,251.72,259.94
04/2014,257.88,262.87,254.28,255.33
03/2014,255.47,258.76,248.2,258.11
02/2014,251.37,258.74,245.1,258.41
01/2014,264.35,264.51,247.43,252.89
12/2018,275.7,276.98,259.35,261.98
11/2018,264.72,277.54,262.77,271.35
10/2018,301.55,301.97,259.06,264.01
09/2018,299.15,302.64,290.69,300.51
08/2018,298.32,300.07,285.42,300.07
07/2018,299.12,300.24,289.9,297.45
06/2018,310.13,319.19,295.97,299.66
05/2018,323.56,323.97,308.07,310.92
04/2018,315.56,323.58,308.33,323.56
03/2018,310.11,324.72,304.46,314.61
02/2018,335.06,335.66,303.47,312.86
01/2018,325.73,339.27,324.22,333.38
12/2016,254.84,264.42,251.52,260.01
11/2016,255.35,257.03,246.51,254.26
10/2016,259.51,261.68,253.71,255.93
09/2016,254.95,262.1,250.53,257.49
08/2016,252.91,258.93,248.6,256.87
07/2016,244.96,253.37,240.73,251.48
06/2016,242.7,251.51,234.97,244.14
05/2016,244.86,244.9,237.65,243.63
04/2016,245.59,249.56,239.57,245.2
03/2016,238.45,247.58,237.21,245.86
02/2016,232.87,236.91,223.37,234.63
01/2016,239.3,239.35,222.92,232.1
