Date,Open,High,Low,Close
12/2013,"270.48","270.84","256.08","264.24"
11/2013,"268.06","270.36","258.04","269.57"
10/2013,"261.08","272.56","260.09","266.91"
09/2013,"251.65","264.38","250.40","260.91"
08/2013,"248.33","251.74","239.01","251.74"
07/2013,"240.58","249.03","234.11","247.99"
06/2013,"260.48","262.03","230.18","242.27"
05/2013,"255.49","263.34","251.19","261.47"
04/2013,"264.16","264.19","246.11","255.72"
03/2013,"268.51","269.12","255.10","263.39"
02/2013,"258.57","268.95","253.50","268.01"
01/2013,"266.24","270.74","253.49","258.07"
